id	definition	parents
DOID:0001816	A vascular cancer that derives_from the cells that line the walls of blood vessels or lymphatic vessels.	vascular cancer
DOID:0002116	A corneal disease that is characterized by a triangular tissue growth located_in cornea of the eye that is the result of collagen degeneration and fibrovascular proliferation.	corneal disease
DOID:0014667	A disease that involves errors in metabolic processes of building or degradation of molecules.	disease
DOID:0040001	A crustacean allergy that has_allergic_trigger shrimp.	crustacean allergy
DOID:0040002	A drug allergy that has_allergic_trigger acetylsalicylic acid.	drug allergy
DOID:0040003	A beta-lactam allergy that has_allergic_trigger benzylpenicillin.	beta-lactam allergy
DOID:0040004	A beta-lactam allergy that has_allergic_trigger amoxicillin.	beta-lactam allergy
DOID:0040005	A cephalosporin allergy that has_allergic_trigger ceftriaxone.	cephalosporin allergy
DOID:0040006	A drug allergy that has_allergic_trigger carbamazepine.	drug allergy
DOID:0040007	A drug allergy that has_allergic_trigger abacavir.	drug allergy
DOID:0040008	A drug allergy that has_allergic_trigger isoniazide.	drug allergy
DOID:0040009	A drug allergy that has_allergic_trigger lidocaine.	drug allergy
DOID:0040010	A drug allergy that has_allergic_trigger mepivacaine.	drug allergy
DOID:0040011	A drug allergy that has_allergic_trigger phenobarbital.	drug allergy
DOID:0040012	A drug allergy that has_allergic_trigger phenytoin.	drug allergy
DOID:0040013	A drug allergy that has_allergic_trigger ranitidine.	drug allergy
DOID:0040014	A drug allergy that has_allergic_trigger corticosteroid.	drug allergy
DOID:0040015	A drug allergy that has_allergic_trigger sulfonamide.	drug allergy
DOID:0040016	A drug allergy that has_allergic_trigger sulfamethoxazole.	drug allergy
DOID:0040017	A drug allergy that has_allergic_trigger suprofen.	drug allergy
DOID:0040018	A drug allergy that has_allergic_trigger thiopental.	drug allergy
DOID:0040019	A drug allergy that has_allergic_trigger D-mannitol.	drug allergy
DOID:0040020	A cephalosporin allergy that has_allergic_trigger cefotaxime.	cephalosporin allergy
DOID:0040021	A drug allergy that has_allergic_trigger cephalosporin.	drug allergy
DOID:0040022	A drug allergy that has_allergic_trigger amodiaquine.	drug allergy
DOID:0040023	A cephalosporin allergy that has_allergic_trigger cefaclor.	cephalosporin allergy
DOID:0040024	A cephalosporin allergy that has_allergic_trigger ceftazidime.	cephalosporin allergy
DOID:0040025	A cephalosporin allergy that has_allergic_trigger cefuroxime.	cephalosporin allergy
DOID:0040026	A drug allergy that has_allergic_trigger chlorhexidine.	drug allergy
DOID:0040027	A drug allergy that has_allergic_trigger cyclophosphamide.	drug allergy
DOID:0040028	A drug allergy that has_allergic_trigger succinylcholine.	drug allergy
DOID:0040029	A drug allergy that has_allergic_trigger trimethoprim.	drug allergy
DOID:0040030	A cephalosporin allergy that has_allergic_trigger cefixime.	cephalosporin allergy
DOID:0040031	A drug allergy that has_allergic_trigger diclofenac.	drug allergy
DOID:0040032	A drug allergy that has_allergic_trigger carbapenems.	drug allergy
DOID:0040033	A beta-lactam allergy that has_allergic_trigger piperacillin.	beta-lactam allergy
DOID:0040034	A drug allergy that has_allergic_trigger rocuronium.	drug allergy
DOID:0040035	A drug allergy that has_allergic_trigger sulfasalazine.	drug allergy
DOID:0040036	A drug allergy that has_allergic_trigger tubocurarine.	drug allergy
DOID:0040037	A beta-lactam allergy that has_allergic_trigger aztreonam.	beta-lactam allergy
DOID:0040038	An allergic asthma that has_allergic_trigger meropenem, a beta-lactam antibiotic.	allergic asthma
DOID:0040040	An isocyanates allergic asthma that has_allergic_trigger hexamethylene diisocyanate.	isocyanates allergic asthma
DOID:0040041	An allergic asthma that has_allergic_trigger isocyanates.	allergic asthma
DOID:0040042	An isocyanates allergic asthma that has_allergic_trigger diphenylmethane-4,4-diisocyanate.	isocyanates allergic asthma
DOID:0040043	An isocyanates allergic asthma that has_allergic_trigger toluene meta-diisocyanate.	isocyanates allergic asthma
DOID:0040044	An isocyanates allergic asthma that has_allergic_trigger methyl isocyanate.	isocyanates allergic asthma
DOID:0040045	An allergic asthma that has_allergic_trigger nickel atom.	metal allergy | allergic asthma
DOID:0040046	An allergic contact dermatitis that has_allergic_trigger nickel atom.	metal allergy | allergic contact dermatitis
DOID:0040047	An allergic asthma that has_allergic_trigger trimellitic anhydride.	allergic asthma
DOID:0040048	An allergic asthma that has_allergic_trigger phthalic anhydride.	allergic asthma
DOID:0040049	An allergic asthma that has_allergic_trigger maleic anhydride.	allergic asthma
DOID:0040050	An allergic asthma that has_allergic_trigger tetrachlorophthalic anhydride.	allergic asthma
DOID:0040051	An allergic asthma that has_allergic_trigger hexahydrophthalic anhydride.	allergic asthma
DOID:0040052	An allergic contact dermatitis that has_allergic_trigger diphenylmethane-4,4-diisocyanate.	allergic contact dermatitis
DOID:0040053	An allergic contact dermatitis that has_allergic_trigger cobalt atom.	metal allergy | allergic contact dermatitis
DOID:0040054	An allergic asthma that has_allergic_trigger cobalt atom.	metal allergy | allergic asthma
DOID:0040055	An allergic contact dermatitis that has_allergic_trigger palladium.	metal allergy | allergic contact dermatitis
DOID:0040056	An allergic contact dermatitis that has_allergic_trigger chromium atom.	metal allergy | allergic contact dermatitis
DOID:0040057	An allergic contact dermatitis that has_allergic_trigger benzoic acid.	allergic contact dermatitis
DOID:0040058	An allergic contact dermatitis that has_allergic_trigger 1,4-phenylenediamine.	allergic contact dermatitis
DOID:0040059	An allergic contact dermatitis that has_allergic_trigger potassium dichromate.	allergic contact dermatitis
DOID:0040060	A photoallergic dermatitis that has_allergic_trigger ketoprofen.	drug allergy | photoallergic dermatitis
DOID:0040061	A respiratory allergy that has_allergic_trigger remazole black-GR.	respiratory allergy
DOID:0040062	A respiratory allergy that has_allergic_trigger chloramine T.	respiratory allergy
DOID:0040063	A respiratory allergy that has_allergic_trigger 4-vinylcyclohexene dioxide.	respiratory allergy
DOID:0040064	An allergic contact dermatitis that has_allergic_trigger (-)-carvone.	allergic contact dermatitis
DOID:0040065	A drug allergy that has_allergic_trigger quinidine.	drug allergy
DOID:0040066	A drug allergy that has_allergic_trigger melphalan.	drug allergy
DOID:0040067	An allergic contact dermatitis that has_allergic_trigger neomycin sulfate.	drug allergy | allergic contact dermatitis
DOID:0040068	An allergic contact dermatitis that has_allergic_trigger 4-tert-butylphenol.	allergic contact dermatitis
DOID:0040069	An allergic contact dermatitis that has_allergic_trigger 1-chloro-2,4-dinitrobenzene.	allergic contact dermatitis
DOID:0040070	A drug allergy that has_allergic_trigger co-trimoxazole.	drug allergy
DOID:0040071	A drug allergy that has_allergic_trigger sodium aurothiomalate.	drug allergy
DOID:0040072	An allergic contact dermatitis that has_allergic_trigger parthenolide.	allergic contact dermatitis
DOID:0040073	A drug allergy that has_allergic_trigger disodium cromoglycate.	drug allergy
DOID:0040074	An allergic contact dermatitis that has_allergic_trigger formaldehyde.	allergic contact dermatitis
DOID:0040075	An allergic contact dermatitis that has_allergic_trigger benzo[d]isothiazol-3-one.	allergic contact dermatitis
DOID:0040076	A drug allergy that has_allergic_trigger phthalyl group.	drug allergy
DOID:0040077	A drug allergy that has_allergic_trigger alcuronium bromide.	drug allergy
DOID:0040078	A drug allergy that has_allergic_trigger gallamine.	drug allergy
DOID:0040079	An allergic contact dermatitis that has_allergic_trigger 2,4-dinitrophenyl group.	allergic contact dermatitis
DOID:0040080	A drug allergy that has_allergic_trigger patent blue V.	drug allergy
DOID:0040081	A respiratory allergy that has_allergic_trigger acid anhydride.	respiratory allergy
DOID:0040082	A drug allergy that has_allergic_trigger oxirane.	drug allergy
DOID:0040083	A bacterial pneumonia has_material_basis_in Chlamydia pneumoniae.	bacterial pneumonia
DOID:0040084	A bacterial pneumonia has_material_basis_in Streptococcus pneumoniae.	bacterial pneumonia
DOID:0040085	A bacterial infectious disease has_material_basis_in Bacteria.	bacterial infectious disease
DOID:0040086	A viral infectious disease has_material_basis_in BK polyomavirus (Betapolyomavirus hominis).	kidney disease | viral infectious disease
DOID:0040087	An autoimmune disease of peripheral nervous system that results in peripheral neuropathy.	autoimmune disease of peripheral nervous system
DOID:0040088	An autoimmune disease of eyes, ear, nose and throat that is located_in the uvea.	autoimmune disease of eyes, ear, nose and throat | uveal disease
DOID:0040089	An autoimmune disease of peripheral nervous system that is located_in the neuron projection bundle connecting eye with brain.	autoimmune disease of peripheral nervous system
DOID:0040090	An autoimmune disease of gastrointestinal tract that is located_in the stomach.	autoimmune disease of gastrointestinal tract | stomach disease
DOID:0040091	An autoimmune disease of endocrine system that is located_in the pancreas.	autoimmune disease of endocrine system | pancreas disease
DOID:0040092	An ankylosing spondylitis with onset during childhood.	ankylosing spondylitis
DOID:0040093	A lupus erythematosus caused by chronic use of certain drugs.	lupus erythematosus
DOID:0040094	An autoimmune disease of urogenital tract that is located_in the renal glomerulus.	autoimmune disease of urogenital tract
DOID:0040095	An autoimmune disease of cardiovascular system that is characterized by deterioration of the function of the heart muscle.	autoimmune disease of cardiovascular system | heart disease
DOID:0040096	An autoimmune disease of cardiovascular system that is characterized by a build up of plaque in the arteries.	autoimmune disease of cardiovascular system
DOID:0040097	An autoimmune disease of cardiovascular system that is characterized by inflammation of the blood vessels.	autoimmune disease of cardiovascular system
DOID:0040098	A pemphigus that is characterized by blistered skin as a result of self-reactive T and B cells that target BP180.	pemphigus
DOID:0040099	A vasculitis with purpuric ulcers.	vasculitis
DOID:0040100	An autoimmune disease of endocrine system characterized by hypoglycemia caused by antibodies to insulin.	autoimmune disease of endocrine system
DOID:0040101	An allergic contact dermatitis that has_allergic_trigger N,N-diphenylthiourea.	allergic contact dermatitis
DOID:0040102	An allergic contact dermatitis that has_allergic_trigger N,N-diethylthiourea.	allergic contact dermatitis
DOID:0040103	A cephalosporin allergy that has_allergic_trigger cefotiam.	cephalosporin allergy
DOID:0040104	A toluene meta-diisocyanate allergic asthma that has_allergic_trigger toluene 2,4-diisocyanate.	toluene meta-diisocyanate allergic asthma
DOID:0050004	A gonococcal seminal vesiculitis that is characterized by back pain, perineal pain, pain with ejaculation, hematospermia and voiding symptoms resulting from inflammation located_in the seminal vesicles caused by Neisseria gonorrhoeae infection.	gonococcal seminal vesiculitis
DOID:0050012	A viral infectious disease that results_in infection located_in joint, has_material_basis_in Chikungunya virus (Alphavirus chikungunya), which is transmitted_by Aedes mosquito bite. The infection has_symptom fever, has_symptom arthralgia, and has_symptom maculopapular rash.	viral infectious disease
DOID:0050025	An ehrlichiosis that results in infection located in granular leukocyte, has_material_basis_in Anaplasma phagocytophilum, which is transmitted by lone star tick (Amblyomma americanum). The infection has symptom headache, has symptom muscle aches, has symptom fatigue, has symptom fever and has symptom rash.	ehrlichiosis
DOID:0050026	An ehrlichiosis that results in infection located in monocyte or located in macrophage, has_material_basis_in Ehrlichia chaffeensis, which is transmitted by black-legged tick (Ixodes scapularis), transmitted by western black-legged tick (Ixodes pacificus) or transmitted by castor bean tick (Ixodes ricinus). The infection has symptom headache, has symptom muscle aches, has symptom fatigue, has symptom fever and has symptom rash.	ehrlichiosis
DOID:0050032	An acquired metabolic disease that is characterized by abnormal mineral metabolism.	acquired metabolic disease
DOID:0050035	A spotted fever that has_material_basis_in Rickettsia africae, which is transmitted_by ticks (Amblyomma hebraeum and Amblyomma variegatum). The infection has_symptom fever, has_symptom eschar and has_symptom maculopapular rash.	spotted fever
DOID:0050041	A spotted fever that has_material_basis_in Rickettsia conorii subsp caspia, which is transmitted_by ticks (Rhipicephalus pumilio and Rhipicephalus sanguineus). The infection has_symptom fever, has_symptom eschar (usually single), has_symptom regional adenopathy, has_symptom maculopapular rash on extremities.	spotted fever
DOID:0050042	A spotted fever that has_material_basis_in Rickettsia conorii subsp indica, which is transmitted_by ticks (Rhipicephalus sanguineus). The infection has_symptom fever, has_symptom eschar, has_symptom regional adenopathy, and has_symptom maculopapular rash on extremities.	spotted fever
DOID:0050043	A spotted fever that has_material_basis_in Rickettsia conorii subsp israelensis, which is transmitted_by ticks (Rhipicephalus sanguineus). The infection has_symptom fever, has_symptom eschar, has_symptom regional adenopathy, and has_symptom maculopapular rash on extremities.	spotted fever
DOID:0050046	A spotted fever that has_material_basis_in Rickettsia heilongjiangensis, which is transmitted_by ticks (Haemaphysalis concinna). The infection has_symptom fever, has_symptom eschar, has_symptom maculopapular rash, and has_symptom regional adenopathy.	spotted fever
DOID:0050047	A spotted fever that has_material_basis_in Rickettsia honei, which is transmitted_by cayenne ticks (Amblyomma cajennense). The infection has_symptom mild spotted fever, has_symptom eschar and has_symptom adenopathy.	spotted fever
DOID:0050050	A spotted fever that has_material_basis_in Rickettsia japonica, which is transmitted_by ticks (Dermacentor taiwanensis and Haemaphysalis flava). The infection has_symptom fever, has_symptom eschars, has_symptom regional adenopathy, and has_symptom rash on extremities.	spotted fever
DOID:0050051	A spotted fever that has_material_basis_in Rickettsia parkeri, which is transmitted_by Gulf Coast tick (Amblyomma maculatum). The infection has_symptom fever, has_symptom headache, has_symptom eschar, and has_symptom rash.	spotted fever
DOID:0050052	A spotted fever that has_material_basis_in Rickettsia rickettsii, which is transmitted_by ticks (Dermacentor variabilis and Dermacentor andersoni). The infection has_symptom fever, has_symptom headache, has_symptom abdominal pain, and has_symptom maculopapular rash progressing into papular or petechial rash.	spotted fever
DOID:0050059	A gastrointestinal anthrax that results in infection located in mucosa of oropharynx, has_material_basis_in Bacillus anthracis, which is transmitted by ingestion of anthrax-infected meat. The infection has symptom lesions, has symptom vomiting of blood, has symptom severe diarrhea, has symptom loss of appetite.	gastrointestinal anthrax
DOID:0050061	A primary bacterial infectious disease that results_in infection located_in skin, has_material_basis_in Erysipelothrix rhusiopathiae, which is transmitted_by contact with infected animals. The infection has_symptom redness of skin, has_symptom tenderness of skin and has_symptom warmth of skin.	primary bacterial infectious disease
DOID:0050072	A primary systemic mycosis that is a fungal infection located_in lungs, or located_in skin, which results_in disseminated granulomatous pulmonary process and cutaneous infection in rodents, small wild mammals and humans, has_material_basis_in Chrysosporium parvum or Emmonsia crescens.	primary systemic mycosis
DOID:0050073	An aspergillosis that is a serious fungal infection of the lung with pneumonia caused by Aspergillus, which spreads to other parts of the body through bloodstream in patients with acute leukemia and recipients of tissue transplants. Clinical symptoms include pulmonary nodules and hemorrhage.	aspergillosis | lung disease
DOID:0050083	A nutritional deficiency that is disease characterized by a cardiomyopathy secondary to selenium deficiency.	nutritional deficiency disease
DOID:0050096	A dermatophytosis that results_in fungal infection which effects horny layer of epidermis of the bearded areas located_in face or located_in neck, has_material_basis_in Trichophyton mentagrophytes or has_material_basis_in Trichophyton verrucosum, which also effects hair, and effects nail and has_symptom inflammatory kerion-like plaques, and results_in_formation_of noninflammatory superficial perifollicular pustules.	skin disease | dermatophytosis
DOID:0050097	A tinea capitis that results_in fungal infection located_in cuticle of hair, has_material_basis_in Microsporum canis, has_material_basis_in Microsporum gypseum, has_material_basis_in Trichophyton equinum, and has_material_basis_in Trichophyton verrucosum, which produce arthroconidia on the exterior of the hair shaft.	hair disease | tinea capitis
DOID:0050105	A tinea capitis that results_in fungal infection located_in hair, has_material_basis_in Ascomycota fungi that belong to a group called dermatophytes, which produce arthroconidia within the hair shaft only.	hair disease | tinea capitis
DOID:0050116	A tinea corporis that results_in fungal infection located_in skin, has_material_basis_in Trichophyton concentricum, which is characterized by ring-like growth in overlapping circles that may have an autosomal dominant genetic predisposition.	tinea corporis
DOID:0050117	A disease that is the consequence of the presence of pathogenic microbial agents, including pathogenic viruses, pathogenic bacteria, fungi, protozoa, multicellular parasites, and aberrant proteins known as prions.	disease
DOID:0050118	A viral infectious disease that results_in inflammation located_in brain, has_material_basis_in La Crosse virus (Orthobunyavirus lacrosseense), which is primarily transmitted_by treehole mosquito (Ochlerotatus triseriatus) but also Asian tiger mosquito (Aedes albopictus) and Asian bush mosquito (Aedes japonicus). The infection has_symptom seizures, has_symptom headache, has_symptom fever, has_symptom coma, and has_symptom paralysis.	viral infectious disease | brain disease
DOID:0050120	A lymphatic system disease that is characterized by an expansion of the monocyte-macrophage population and intense hemophagocytosis. It can occur de novo, but more often occurs in the setting of another disorder, usually an infection or a malignancy. A clinical picture of fever, hepatosplenomegaly, lymphadenopathy and peripheral pancytopenia. The morphologic hallmark of this syndrome is the phagocytosis of hematopoietic elements by morphologically normal macrophages.	lymphatic system disease
DOID:0050125	A dengue disease that involves the most severe form of dengue fever, has_material_basis_in Dengue virus (Orthoflavivirus denguei), which are transmitted_by Aedes mosquito bite. The infection has_symptom easy bruising, has_symptom blood spots, has_symptom bleeding gums, and has_symptom nosebleeds. It is accompanied by circulatory collapse, involves hypotension, narrow pulse pressure (less than or equal to 20mm Hg), or frank shock. The shock occurs after two to six days of symptoms, followed by collapse, weak pulse, and blueness around the mouth.	dengue disease
DOID:0050127	A paranasal sinus disease involving inflammation of the paranasal sinuses resulting from bacterial, fungal, viral infection, allergic or autoimmune issues. Symptoms can include fever, weakness, fatigue, cough and congestion. There may also be mucus drainage in the back of the throat, called postnasal drip.	paranasal sinus disease
DOID:0050129	A diarrhea where there is an increase in the active secretion, or there is an inhibition of absorption causing little to no structural damage. The most common cause of this type of diarrhea is a cholera toxin that stimulates the secretion of anions, especially chloride ions.	diarrhea
DOID:0050130	A dirrhea that occurs when too much water is drawn into the bowels. This can be the result of maldigestion (e.g., pancreatic disease or Coeliac disease), in which the nutrients are left in the lumen to pull in water. Osmotic diarrhea can also be caused by osmotic laxatives (which work to alleviate constipation by drawing water into the bowels). In healthy individuals, too much magnesium or vitamin C or undigested lactose can produce osmotic diarrhea and distention of the bowel. A person who does not have lactose intolerance can have difficulty absorbing lactose after an extraordinarily high intake of dairy products.	diarrhea
DOID:0050131	A diarrhea which is caused by the rapid movement of food through the intestines (hypermotility). If the food moves too quickly through the GI tract, there is not enough time for sufficient nutrients and water to be absorbed.	diarrhea
DOID:0050132	A gastrointestinal system infectious disease involving diarrhea that occurs when there is damage to the mucosal lining or brush border, which leads to a passive loss of protein-rich fluids, and a decreased ability to absorb these lost fluids. It can be caused by bacterial infections, viral infections, parasitic infections, or autoimmune problems such as inflammatory bowel diseases. It can also be caused by tuberculosis, colon cancer, and enteritis.	diarrhea
DOID:0050133	A fungal infectious disease that results_in infection of the outermost layer located_in skin or located_in hair shaft, has_material_basis_in Fungi. No living tissue is invaded and there is no cellular response from the host.	fungal infectious disease
