id	label	synonyms	snomed	omop	doid	mondo	nci	icd10	orphanet	omim	umls	mesh
DOID:0001816	angiosarcoma	hemangiosarcoma	39000009		0001816		C3088;C9275				C0018923;C0854893	D006394
DOID:0002116	pterygium	surfer's eye			0002116						C0033999	
DOID:0014667	disease of metabolism	metabolic disease	75934005		0014667		C3235	E88.9			C0025517	D008659
DOID:0040001	shrimp allergy				0040001							
DOID:0040002	aspirin allergy	acetylsalicylic acid allergy | ASA allergy	293586001		0040002						C0004058	
DOID:0040003	benzylpenicillin allergy	benzyl penicillin allergy | penicillin G allergy	294499007		0040003						C0571411	
DOID:0040004	amoxicillin allergy		294505008		0040004						C0571417	
DOID:0040005	ceftriaxone allergy	rocephin allergy	294551009		0040005						C0571463	
DOID:0040006	carbamazepine allergy	carbamazepen allergy | Tegretol allergy	293867002		0040006						C0570787	
DOID:0040007	abacavir allergy	ABC allergy			0040007							
DOID:0040008	isoniazide allergy	INH allergy | isonicotinylhydrazide allergy			0040008			Z88.1				
DOID:0040009	lidocaine allergy	Lidoderm allergy | lignocaine allergy | xylocaine allergy	293722000		0040009						C0570646	
DOID:0040010	mepivacaine allergy	Carbocaine allergy | Polocaine allergy			0040010			Z88.4				
DOID:0040011	phenobarbital allergy	Luminal allergy | phenobarbitol allergy | phenobarbitone allergy	293865005		0040011						C0570785	
DOID:0040012	phenytoin allergy	Dilantin allergy	293869004		0040012						C0570789	
DOID:0040013	ranitidine allergy	Zantac allergy	293653009		0040013						C0570577	
DOID:0040014	corticosteroid allergy				0040014							
DOID:0040015	sulfonamide allergy		91939003		0040015						C0038757	
DOID:0040016	sulfamethoxazole allergy	SMX allergy | SMZ allergy | sulphamethoxazole allergy			0040016							
DOID:0040017	suprofen allergy	Profenal allergy			0040017							
DOID:0040018	thiopental allergy	penthiobarbital allergy | pentothiobarbital allergy	293709008		0040018						C0570633	
DOID:0040019	D-mannitol allergy	mannitol allergy	295019008		0040019						C0571922	
DOID:0040020	cefotaxime allergy		294545004		0040020						C0571457	
DOID:0040021	cephalosporin allergy		294532003		0040021						C0571444	
DOID:0040022	amodiaquine allergy	Camoquin allergy | Flavoquine allergy	294390007		0040022						C0571303	
DOID:0040023	cefaclor allergy	Ceclor allergy | cephaclor allergy	294541008		0040023						C0571453	
DOID:0040024	ceftazidime allergy	Fortaz allergy | Tazicef allergy	294546003		0040024						C0571458	
DOID:0040025	cefuroxime allergy	cephuroxime allergy | Zinacef allergy	294542001		0040025						C0571454	
DOID:0040026	chlorhexidine allergy		294431008		0040026						C0571344	
DOID:0040027	cyclophosphamide allergy	cytophosphane allergy	293748008		0040027						C0570670	
DOID:0040028	succinylcholine allergy	dicholine succinate allergy | succinocholine allergy | sux allergy | suxamethonium allergy	294224007		0040028						C0571140	
DOID:0040029	trimethoprim allergy	Primsol allergy | proloprim allergy | TMP allergy	294477004		0040029						C0571390	
DOID:0040030	cefixime allergy		294548002		0040030						C0571460	
DOID:0040031	diclofenac allergy	Voltaren allergy	293613006		0040031						C0570540	
DOID:0040032	carbapenem allergy		294531005		0040032						C0571443	
DOID:0040033	piperacillin allergy		294515002		0040033						C0571427	
DOID:0040034	rocuronium allergy	Esmeron allergy | Zemuron allergy	294233009		0040034						C0571149	
DOID:0040035	sulfasalazine allergy		293663001		0040035						C0570587	
DOID:0040036	tubocurarine allergy	DTC allergy	294231006		0040036						C0571147	
DOID:0040037	aztreonam allergy	Azactam allergy | Primbactam allergy	294565006		0040037						C0571476	
DOID:0040038	meropenem allergy	Merrem allergy			0040038							
