parent_id	child_id	child_label
DOID:0001816	DOID:265	spleen angiosarcoma
DOID:0001816	DOID:268	liver angiosarcoma
DOID:0001816	DOID:4505	childhood angiosarcoma
DOID:0001816	DOID:4510	aorta angiosarcoma
DOID:0001816	DOID:4512	conventional angiosarcoma
DOID:0001816	DOID:4513	gallbladder angiosarcoma
DOID:0001816	DOID:4522	superior vena cava angiosarcoma
DOID:0001816	DOID:4525	mediastinum angiosarcoma
DOID:0001816	DOID:4527	ovarian angiosarcoma
DOID:0002116	DOID:10525	double pterygium
DOID:0002116	DOID:10526	conjunctival pterygium
DOID:0014667	DOID:0060158	acquired metabolic disease
DOID:0014667	DOID:0061212	hypocholesteremia
DOID:0014667	DOID:655	inherited metabolic disorder
DOID:0014667	DOID:9120	amyloidosis
DOID:0040001	DOID:0060525	brown shrimp allergy
DOID:0040001	DOID:0060527	Indian prawn allergy
DOID:0040001	DOID:0060528	tiger prawn allergy
DOID:0040001	DOID:0060529	white shrimp allergy
DOID:0040021	DOID:0040005	ceftriaxone allergy
DOID:0040021	DOID:0040020	cefotaxime allergy
DOID:0040021	DOID:0040023	cefaclor allergy
DOID:0040021	DOID:0040024	ceftazidime allergy
DOID:0040021	DOID:0040025	cefuroxime allergy
DOID:0040021	DOID:0040030	cefixime allergy
DOID:0040021	DOID:0040103	cefotiam allergy
DOID:0040041	DOID:0040040	hexamethylene diisocyanate allergic asthma
DOID:0040041	DOID:0040042	diphenylmethane-4,4'-diisocyanate allergic asthma
DOID:0040041	DOID:0040043	toluene meta-diisocyanate allergic asthma
DOID:0040041	DOID:0040044	methyl isocyanate allergic asthma
DOID:0040043	DOID:0040104	toluene 2,4-diisocyanate allergic asthma
DOID:0050032	DOID:10575	calcium metabolism disease
DOID:0050032	DOID:2351	iron metabolism disease
DOID:0050032	DOID:2485	phosphorus metabolism disease
DOID:0050032	DOID:4500	hypokalemia
DOID:0050117	DOID:104	bacterial infectious disease
DOID:0050117	DOID:1398	parasitic infectious disease
DOID:0050117	DOID:1564	fungal infectious disease
DOID:0050117	DOID:649	prion disease
DOID:0050117	DOID:934	viral infectious disease
DOID:0050120	DOID:0110921	familial hemophagocytic lymphohistiocytosis 1
