id	definition	parents
MESH:D000006	A clinical syndrome with acute abdominal pain that is severe, localized, and rapid in onset. Acute abdomen may be caused by a variety of disorders, injuries, or diseases.	
MESH:D000007	General or unspecified injuries involving organs in the abdominal cavity.	
MESH:D000008	New abnormal growth of tissue in the ABDOMEN.	
MESH:D000012	An autosomal recessive disorder of lipid metabolism. It is caused by mutation of the microsomal triglyceride transfer protein that catalyzes the transport of lipids (TRIGLYCERIDES; CHOLESTEROL ESTERS; PHOSPHOLIPIDS) and is required in the secretion of BETA-LIPOPROTEINS (low density lipoproteins or LDL). Features include defective intestinal lipid absorption, very low serum cholesterol level, and near absent LDL.	
MESH:D000013	Malformations of organs or body parts during development in utero.	
MESH:D000014	Congenital abnormalities caused by medicinal substances or drugs of abuse given to or taken by the mother, or to which she is inadvertently exposed during the manufacture of such substances. The concept excludes abnormalities resulting from exposure to non-medicinal chemicals in the environment.	
MESH:D000015	Congenital abnormalities that affect more than one organ or body structure.	
MESH:D000016	Congenital changes in the morphology of organs produced by exposure to ionizing or non-ionizing radiation.	
MESH:D000022	Expulsion of the product of FERTILIZATION before completing the term of GESTATION and without deliberate interference.	
MESH:D000026	Three or more consecutive spontaneous abortions.	
MESH:D000027	Premature loss of PREGNANCY in which not all the products of CONCEPTION have been expelled.	
MESH:D000030	The retention in the UTERUS of a dead FETUS two months or more after its DEATH.	
MESH:D000031	Any type of abortion, induced or spontaneous, that is associated with infection of the UTERUS and its appendages. It is characterized by FEVER, uterine tenderness, and foul discharge.	
MESH:D000033	UTERINE BLEEDING from a GESTATION of less than 20 weeks without any CERVICAL DILATATION. It is characterized by vaginal bleeding, lower back discomfort, or midline pelvic cramping and a risk factor for MISCARRIAGE.	
MESH:D000034	Premature expulsion of the FETUS in animals.	
MESH:D000037	Premature separation of the normally implanted PLACENTA from the UTERUS. Signs of varying degree of severity include UTERINE BLEEDING, uterine MUSCLE HYPERTONIA, and FETAL DISTRESS or FETAL DEATH.	
MESH:D000038	Accumulation of purulent material in tissues, organs, or circumscribed spaces, usually associated with signs of infection.	
MESH:D000039	An accumulation of purulent material in the area between the PALATINE TONSIL and its capsule.	
