id	label	synonyms	snomed	omop	doid	mondo	nci	icd10	orphanet	omim	umls	mesh
MESH:D000006	Abdomen, Acute	Abdomens, Acute | Acute Abdomen | Acute Abdomens										D000006
MESH:D000007	Abdominal Injuries	Injuries, Abdominal | Abdominal Injury | Injury, Abdominal										D000007
MESH:D000008	Abdominal Neoplasms	Abdominal Neoplasm | Neoplasm, Abdominal | Neoplasms, Abdominal										D000008
MESH:D000012	Abetalipoproteinemia	Bassen-Kornzweig Syndrome | Bassen Kornzweig Syndrome | Microsomal Triglyceride Transfer Protein Deficiency Disease | Bassen-Kornzweig Disease | Bassen Kornzweig Disease | Microsomal Triglyceride Transfer Protein Deficiency | Betalipoprotein Deficiency Disease | Betalipoprotein Deficiency Diseases | Deficiency Disease, Betalipoprotein | Deficiency Diseases, Betalipoprotein | Disease, Betalipoprotein Deficiency | Diseases, Betalipoprotein Deficiency | Acanthocytosis | Acanthocytoses										D000012
MESH:D000013	Congenital Abnormalities	Abnormality, Congenital | Congenital Abnormality | Abnormalities, Congenital | Birth Defects | Birth Defect | Defect, Birth | Congenital Defects | Congenital Defect | Defect, Congenital | Defects, Congenital | Deformities | Deformity										D000013
MESH:D000014	Abnormalities, Drug-Induced	Abnormalities, Drug Induced | Drug-Induced Abnormalities | Abnormality, Drug-Induced | Drug Induced Abnormalities | Drug-Induced Abnormality										D000014
MESH:D000015	Abnormalities, Multiple	Multiple Abnormalities										D000015
MESH:D000016	Abnormalities, Radiation-Induced	Abnormalities, Radiation Induced | Radiation-Induced Abnormalities | Abnormality, Radiation-Induced | Radiation Induced Abnormalities | Radiation-Induced Abnormality										D000016
MESH:D000022	Abortion, Spontaneous	Abortions, Spontaneous | Spontaneous Abortions | Spontaneous Abortion										D000022
MESH:D000026	Abortion, Habitual	Habitual Abortion | Habitual Abortions | Recurrent Early Pregnancy Loss | Abortion, Recurrent | Recurrent Abortion | Recurrent Abortions | Miscarriage, Recurrent | Recurrent Miscarriage | Recurrent Miscarriages										D000026
MESH:D000027	Abortion, Incomplete	Abortions, Incomplete | Incomplete Abortion | Incomplete Abortions | Miscarriage, Missed | Miscarriages, Missed | Missed Miscarriage | Missed Miscarriages										D000027
MESH:D000030	Abortion, Missed	Abortions, Missed | Missed Abortion | Missed Abortions										D000030
MESH:D000031	Abortion, Septic	Abortions, Septic | Septic Abortions | Septic Abortion										D000031
MESH:D000033	Abortion, Threatened	Threatened Abortion | Threatened Abortions | Threatened Miscarriage | Miscarriage, Threatened | Threatened Miscarriages										D000033
MESH:D000034	Abortion, Veterinary	Veterinary Abortion | Abortions, Veterinary | Veterinary Abortions										D000034
MESH:D000037	Abruptio Placentae	Placental Abruption | Abruption, Placental | Abruptions, Placental | Placental Abruptions										D000037
MESH:D000038	Abscess	Abscesses										D000038
MESH:D000039	Peritonsillar Abscess	Abscesses, Peritonsillar | Peritonsillar Abscesses | Abscess, Peritonsillar										D000039
MESH:D000051	Acantholysis	Acantholyses										D000051
MESH:D000052	Acanthosis Nigricans	Acanthosis Nigrican | Nigrican, Acanthosis | Nigricans, Acanthosis										D000052
MESH:D000126	Achlorhydria	Achylia Gastrica										D000126
MESH:D000130	Achondroplasia	Achondroplasias										D000130
MESH:D000137	Acid-Base Imbalance	Acid Base Imbalance | Acid-Base Imbalances | Imbalance, Acid-Base | Imbalances, Acid-Base										D000137
MESH:D000138	Acidosis	Acidoses										D000138
MESH:D000140	Acidosis, Lactic	Lactic Acidosis										D000140
MESH:D000141	Acidosis, Renal Tubular	Renal Tubular Acidosis										D000141
MESH:D000142	Acidosis, Respiratory	Respiratory Acidosis | Acidoses, Respiratory | Respiratory Acidoses										D000142
MESH:D000151	Acinetobacter Infections	Infections, Acinetobacter | Acinetobacter Infection | Infection, Acinetobacter | Infections, Mimae | Infection, Mimae | Mimae Infection | Mimae Infections										D000151
MESH:D000152	Acne Vulgaris											D000152
MESH:D000153	Acne Keloid	Acne Keloids | Keloid, Acne | Keloids, Acne | Folliculitis Keloidalis | Keloidal Acne | Acne, Keloidal | Keloidal Acnes | Acne Keloidalis | Folliculitis Keloidalis Nuchae | Keloidalis Nuchae, Folliculitis | Nuchae, Folliculitis Keloidalis | Dermatitis Papillaris Capillitii | Capillitii, Dermatitis Papillaris | Capillitius, Dermatitis Papillaris | Dermatitis Papillaris Capillitius | Papillaris Capillitii, Dermatitis | Papillaris Capillitius, Dermatitis | Nuchal Keloid Acne | Acne, Nuchal Keloid | Acnes, Nuchal Keloid | Keloid Acne, Nuchal | Keloid Acnes, Nuchal | Nuchal Keloid Acnes | Lichen Keloidalis Nuchae | Keloidalis Nuchae, Lichen | Nuchae, Lichen Keloidalis										D000153
MESH:D000160	Vestibulocochlear Nerve Diseases	Vestibulocochlear Nerve Disease | Cranial Nerve VIII Diseases | Cranial Nerve VIII Disorders | Eighth Cranial Nerve Diseases										D000160
MESH:D000163	Acquired Immunodeficiency Syndrome	AIDS | Immunodeficiency Syndrome, Acquired | Acquired Immunodeficiency Syndromes | Immunodeficiency Syndromes, Acquired | Syndrome, Acquired Immunodeficiency | Syndromes, Acquired Immunodeficiency | Acquired Immune Deficiency Syndrome | Acquired Immuno-Deficiency Syndrome | Acquired Immuno Deficiency Syndrome | Acquired Immuno-Deficiency Syndromes | Immuno-Deficiency Syndrome, Acquired | Immuno-Deficiency Syndromes, Acquired | Syndrome, Acquired Immuno-Deficiency | Syndromes, Acquired Immuno-Deficiency | Immunologic Deficiency Syndrome, Acquired										D000163
MESH:D000168	Acrocephalosyndactylia	Acrocephalosyndactylias | Kurczynski Casperson Syndrome | Syndrome, Kurczynski Casperson										D000168
MESH:D000169	Acrodermatitis	Acrodermatitides										D000169
MESH:D000170	Acrodynia	Acrodynic Erythema | Erythema, Acrodynic | Chronic Childhood Mercurialism | Childhood Mercurialism, Chronic | Childhood Mercurialisms, Chronic | Chronic Childhood Mercurialisms | Mercurialism, Chronic Childhood | Feer Disease | Feer's Disease | Feers Disease | Pink Disease | Swift Disease | Swift's Disease | Swifts Disease										D000170
