id	label	synonyms	snomed	doid	nci	icd10	orphanet	umls	mesh
MONDO:0000001	disease	condition | disease or disorder | disease or disorder, non-neoplastic | diseases | diseases and disorders | disorder | disorders | medical condition | other disease	64572001	4	C2991		377788		D004194
MONDO:0000004	adrenocortical insufficiency	adrenal cortical hypofunction | adrenal cortical insufficiency | adrenal gland insufficiency | adrenal insufficiency | hypocortisolemia | hypocortisolism	386584007	10493	C26691			C0405580	D000309
MONDO:0000005	alopecia, isolated								
MONDO:0000009	inherited bleeding disorder, platelet-type	bleeding disorder, platelet-type		2218				C0005818	
MONDO:0000014	colorblindness, partial								
MONDO:0000015	classic complement early component deficiency	genetic deficiency of early component of the classical complement pathway	363009005					C1285186	
MONDO:0000022	nocturnal enuresis	bedwetting | enuresis, nocturnal | sleep enuresis			C118172			C0270327	D053206
MONDO:0000023	infantile liver failure	fever-associated acute infantile liver failure syndrome | infantile liver failure syndrome | liver failure, infantile		0080716			464724	C5681094	
MONDO:0000030	familial sleep-related hypermotor epilepsy	autosomal dominant nocturnal frontal lobe epilepsy | epilepsy, nocturnal frontal lobe, familial | familial sleep-related hyperkinetic epilepsy	698021005	0060681			98784	C5577629	C579932
MONDO:0000032	febrile seizures, familial	seizures, familial febrile		0111297					
MONDO:0000044	hereditary hypophosphatemic rickets						437		
MONDO:0000045	hypothyroidism, congenital, nongoitrous								
MONDO:0000050	isolated congenital growth hormone deficiency	congenital IGHD | congenital isolated GH deficiency | congenital isolated growth hormone deficiency | isolated growth hormone deficiency	2109003	0060870			631	C5679572	
MONDO:0000060	microcephalic osteodysplastic primordial dwarfism								
MONDO:0000062	isolated microphthalmia	microphthalmia, isolated | nonsyndromic microphthalmia		0080637					
MONDO:0000065	microvascular complications of diabetes, susceptibility	microvascular complications of diabetes							
MONDO:0000066	mitochondrial respiratory chain complex deficiency	isolated oxidative phosphorylation complex disorder | mitochondrial complex deficiency					254846	C5679632	
MONDO:0000070	Mycobacterium tuberculosis, susceptibility	Mycobacterium tuberculosis, susceptibility to | Mycobacterium tuberculosis, susceptibility to infection by							C536092
MONDO:0000078	acrocephalopolysyndactyly		205260006					C0687154	
MONDO:0000079	nephrolithiasis/osteoporosis, hypophosphatemic			0080655					
MONDO:0000082	pelvic organ prolapse		237113009					C0877015	D056887
MONDO:0000087	polymicrogyria		4945003	0080918	C116936		35981	C0266464	D065706
MONDO:0000088	precocious puberty	pubertas praecox | sexual precocity	400179000		C79704	E30.1	95708	C0034013	D011629
MONDO:0000090	progressive external ophthalmoplegia with mitochondrial DNA deletions	progressive external ophthalmoplegia with mtDNA deletions							
MONDO:0000104	anemia, hypochromic microcytic with iron overload	anemia, hypochromic microcytic, with iron overload						C2673913	C567144
MONDO:0000105	anemia, nonspherocytic hemolytic							C4025735	
MONDO:0000107	auriculocondylar syndrome	auriculo-condylar syndrome | question mark ear syndrome	702443003				137888	C1865295	C538270
MONDO:0000108	bacteremia, susceptibility							C3280646	
MONDO:0000110	bifid nose						2695	C0221363	C535441
MONDO:0000111	camptodactyly syndrome, Guadalajara								
MONDO:0000114	cerebelloparenchymal disorder								
MONDO:0000115	Chiari malformation	(Arnold) Chiari malformation | Arnold-Chiari malformation	253184003		C84570			C0003803	D001139
MONDO:0000118	reticulate pigment disorder	reticulate pigment disorders							
MONDO:0000119	congenital heart defects, multiple types								
MONDO:0000127	geleophysic dysplasia	geleophysic dwarfism	28557005	0111724			2623	C3489726	
MONDO:0000128	giant axonal neuropathy		128207002		C84728			C5200933	D056768
MONDO:0000129	glutaric aciduria	glutaric acidemia | glutaric aciduria (disease)	28987007					C0268594	
