parent_id	child_id	child_label
MONDO:0000001	MONDO:0005583	non-human animal disease
MONDO:0000001	MONDO:0700096	human disease
MONDO:0000004	MONDO:0015128	primary adrenal insufficiency
MONDO:0000004	MONDO:0043370	secondary adrenal insufficiency
MONDO:0000005	MONDO:0007082	alopecia areata 1
MONDO:0000005	MONDO:0007084	familial focal alopecia
MONDO:0000005	MONDO:0007184	alopecia, androgenetic, 1
MONDO:0000005	MONDO:0008757	alopecia universalis congenita
MONDO:0000005	MONDO:0010229	alopecia, congenital
MONDO:0000005	MONDO:0010410	alopecia, androgenetic, 2
MONDO:0000005	MONDO:0012551	alopecia areata 2
MONDO:0000005	MONDO:0012899	alopecia, androgenetic, 3
MONDO:0000009	MONDO:0007686	gray platelet syndrome
MONDO:0000009	MONDO:0008309	primary release disorder of platelets
MONDO:0000009	MONDO:0008332	platelet-type von Willebrand disease
MONDO:0000009	MONDO:0008552	platelet-type bleeding disorder 16
MONDO:0000009	MONDO:0008553	platelet-type bleeding disorder 17
MONDO:0000009	MONDO:0009158	Ehlers-Danlos syndrome, fibronectinemic type
MONDO:0000009	MONDO:0009276	Bernard-Soulier syndrome
MONDO:0000009	MONDO:0009885	Scott syndrome
MONDO:0000009	MONDO:0010120	thrombocytopenia 3
MONDO:0000009	MONDO:0010122	congenital thrombotic thrombocytopenic purpura
MONDO:0000009	MONDO:0011136	Quebec platelet disorder
MONDO:0000009	MONDO:0011588	platelet-type bleeding disorder 12
MONDO:0000009	MONDO:0012031	platelet-type bleeding disorder 10
MONDO:0000009	MONDO:0012354	platelet-type bleeding disorder 8
MONDO:0000009	MONDO:0013597	platelet-type bleeding disorder 14
MONDO:0000009	MONDO:0013622	platelet-type bleeding disorder 9
MONDO:0000009	MONDO:0013623	platelet-type bleeding disorder 11
MONDO:0000009	MONDO:0014078	platelet-type bleeding disorder 15
MONDO:0000009	MONDO:0014386	platelet-type bleeding disorder 18
