id	label	synonyms	umls
NCIT:C100012	Severe Cardiac Valve Regurgitation		C3272257
NCIT:C100020	Three Vessel Coronary Disease	THREE VESSEL DISEASE	C3272265
NCIT:C100023	Two Vessel Coronary Disease	TWO VESSEL DISEASE	C0581375
NCIT:C100051	Renal Cell Carcinoma Associated with Neuroblastoma	Renal Cell Cancer Associated with Neuroblastoma	C3272295
NCIT:C100054	Conjunctival Melanocytic Intraepithelial Lesion	C-MIL | C-MIN | Conjunctival Melanocytic Intraepithelial Neoplasia | Conjunctival Primary Acquired Melanosis with Atypia | PAM with Atypia | Primary Acquired Melanosis with Atypia	C1868740
NCIT:C100062	Chronic Total Coronary Artery Occlusion		C1955779
NCIT:C100070	Coronary Venous Dissection		C3272309
NCIT:C100093	Central Nervous System Nongerminomatous Germ Cell Tumor	Nongerminomatous GCT - CNS | Nongerminomatous germ cell tumor of the CNS	C1696109
NCIT:C101024	Colon Atresia	Atresia of Colon | Congenital Atresia of Colon	C0266190
NCIT:C101025	Duodenal Atresia	Atresia of Duodenum | Congenital Atresia of Duodenum | Congenital Duodenal Atresia	C3279849
NCIT:C101026	Ileal Atresia	Atresia of Ileum | Congenital Atresia of Ileum | Congenital Ileal Atresia	C4012291
NCIT:C101027	Jejunal Atresia	Atresia of Jejunum | Congenital Atresia of Jejunum | Congenital Jejunal Atresia	C0266175
NCIT:C101028	Neonatal Aspiration of Amniotic Fluid		C0349470
NCIT:C101029	Atrioventricular Septal Defect	AV Septal Defect | Common Atrioventricular Canal | Common AV Canal | Endocardial Cushion Defect	C4230922
NCIT:C101030	Complete Atrioventricular Canal Defect Balanced	CAVD, Balanced | Complete Atrioventricular Canal Defect (Balanced) | Complete AV Canal Defect Balanced	C3639953
NCIT:C101031	Complete Atrioventricular Canal Defect Unbalanced	CAVD, Unbalanced | Complete Atrioventricular Canal Defect (Unbalanced) | Complete AV Canal Defect Unbalanced	C3639954
NCIT:C101032	Dextrocardia Situs Solitus	Dextrocardia Normal Situs | Dextrocardia, Normal Situs	C0265863
NCIT:C101036	Retinopathy of Prematurity with Plus Disease		C3639958
NCIT:C101037	Transient Tachypnea of the Newborn	Retained Fetal Lung Fluid | Transitory Tachypnea of Newborn | TTN | Type II Respiratory Distress Syndrome | Wet Lung Syndrome	C0158940
NCIT:C101038	Lethal Multiple Pterygium Syndrome	LMPS	C1854678
NCIT:C101039	Escobar Syndrome	Multiple Pterygium Syndrome, Escobar Variant | Non-Lethal Multiple Pterygium Syndrome	C0265261
NCIT:C101040	Total Colonic Aganglionosis	TCA	C0085758
NCIT:C101041	Short Segment Hirschsprung Disease	Short Segment Hirschsprung's Disease	C0345237
NCIT:C101044	Spina Bifida Occulta		C4228268
NCIT:C101045	Drug Induced Methemoglobinemia	Drug-Induced Methemoglobinemia	C0472781
NCIT:C101050	Aortopulmonary Window	Aortopulmonary Septal Defect | AP Window | APSD | APW	C0003516
NCIT:C101074	Total Intestinal Aganglionosis		C0345240
