id	definition	parents
ORPHA:166024	A rare primary bone dysplasia characterized by the association of multiple epiphyseal dysplasia with macrocephaly and dysmorphic facial features (such as frontal bossing, hypertelorism, flat malar region, low-set ears, and short neck). Patients are of normal stature and present with joint swelling and <i>genu valgum</i>. Additional reported manifestations include clinodactyly, spindle-shaped fingers, and <i>pectus excavatum</i>.	
ORPHA:166032	Multiple epiphyseal dysplasia, with miniepiphyses is a rare primary bone dysplasia disorder characterized by strikingly small secondary ossification centers (mini-epiphyses) in all or only some joints, resulting in severe bone dysplasia of the proximal femoral heads. Short stature, increased lumbar lordosis, genua vara and generalized joint laxity have also been reported.	
ORPHA:58	A rare neurodegenerative disorder of the astrocytes comprised of two clinical forms: Alexander disease (AxD) type I and type II manifesting with various degrees of macrocephaly, spasticity, ataxia and seizures and leading to psychomotor regression and death.	
ORPHA:166029	Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia is a rare primary bone dysplasia characterized by severe, early-onset dysplasia of the proximal femurs, with almost complete absence of the secondary ossification centers and abnormal development of the femoral necks (short and broad with irregular metaphyses). It is associated with gait abnormality, mild short stature, arthralgia, joint stiffness with limited mobility of the hips and irregular acetabula, and hip and knee pain. Coxa vara and mild spinal changes are also associated.	
ORPHA:61	An inherited lysosomal storage disorder characterized by immune deficiency, facial and skeletal abnormalities, hearing impairment, and intellectual deficit.	
ORPHA:166038	Metaphyseal chondrodysplasia, Kaitila type is a rare multiple metaphyseal dysplasia disease characterized by disproportionate short stature, short limbs and digits, tracheobronchial malacia and progressive thoracolumbar scoliosis. Radiographic imaging shows progression from marked metaphyseal dysplasia of tubular bones in childhood to short and broad bones with mild dysplasia of the joints in adulthood. There have been no further descriptions in the literature since 1982.	
ORPHA:93	A rare oligosaccharidosis characterized by facial dysmorphism, progressive intellectual disability and psychomotor deterioration due to accumulation of glycoasparagines in tissues and body fluids.	
ORPHA:166035	Brachydactyly-short stature-retinitis pigmentosa syndrome is a rare, genetic, congenital limb malformation syndrome characterized by mild to severe short stature, brachydactyly, and retinal degeneration (usually retinitis pigmentosa), associated with variable intellectual disability, developmental delays, and craniofacial anomalies.	
ORPHA:585	A rare lysosomal disease characterized by a clinical phenotype that combines the features of different sulfatase deficiencies (whether lysosomal or not). Clinical manifestations can include developmental delay, progressive neurologic deterioration, hydrocephalus, hypotonia, coarse facial features, retinopathy, skeletal anomalies, hepatomegaly and ichthyosis to a variable degree. Multiple sulfatase deficiency (MSD) comprises severe to attenuated forms historically classified as neonatal (most severe form), infantile (most common form) or juvenile (rarest form).	
ORPHA:118	Beta-mannosidosis is a very rare lysosomal storage disease characterized by developmental delay of varying severity and hearing loss, but that can manifest a wide phenotypic heterogeneity.	
