id	label	synonyms	icd10	umls	mesh
ORPHA:166024	Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome	Multiple epiphyseal dysplasia, Al-Gazali type		C4304500	
ORPHA:166032	Multiple epiphyseal dysplasia-miniepiphyses syndrome			C5924992	C563735
ORPHA:58	Alexander disease	AxD		C0270726	D038261
ORPHA:166029	Multiple epiphyseal dysplasia-severe proximal femoral dysplasia syndrome			C5924993	C563736
ORPHA:61	Alpha-mannosidosis	Lysosomal alpha-D-mannosidase deficiency		C0024748	D008363
ORPHA:166038	Metaphyseal chondrodysplasia, Kaitila type			C1855217	C565400
ORPHA:93	Aspartylglucosaminuria	Aspartylglucosaminidase deficiency		C0268225	D054880
ORPHA:166035	Brachydactyly-short stature-retinitis pigmentosa syndrome			C5190709	
ORPHA:585	Multiple sulfatase deficiency	Austin disease | MSD | Mucosulfatidosis		C0268263	D052517
ORPHA:118	Beta-mannosidosis	Beta-mannosidase deficiency		C4048196	D044905
ORPHA:166068	Pontocerebellar hypoplasia type 5	PCH5 | Fetal-onset olivopontocerebellar hypoplasia		C1857762	
ORPHA:141	Canavan disease	ACY2 deficiency | Aminoacylase 2 deficiency | Aspartoacylase deficiency | Spongy degeneration of the brain		C0206307	D017825
ORPHA:166063	Pontocerebellar hypoplasia type 4	Fatal infantile encephalopathy with olivopontocerebellar hypoplasia | Olivopontocerebellar hypoplasia | PCH4		C1856974	C536716
ORPHA:166078	Von Willebrand disease type 1			C1264039	D056725
ORPHA:206	NON RARE IN EUROPE: Crohn disease				
ORPHA:166073	Pontocerebellar hypoplasia type 6	Fatal infantile encephalopathy with mitochondrial respiratory chain defects | PCH6		C1969084	C548074
ORPHA:213	Cystinosis	Protein defect of cystin transport		C4316899	D003554
ORPHA:166084	Von Willebrand disease type 2A			C1282968	
ORPHA:333	Farber disease	Acid ceramidase deficiency | Farber lipogranulomatosis		C0268255	D055577
ORPHA:166081	Von Willebrand disease type 2			C1264040	D056728
ORPHA:349	Fucosidosis	Alpha-L-fucosidase deficiency		C0016788	D005645
ORPHA:166090	Von Willebrand disease type 2M			C1282974	
ORPHA:365	Glycogen storage disease due to acid maltase deficiency	Alpha-1,4-glucosidase acid deficiency | GSD due to acid maltase deficiency | GSD type 2 | GSD type II | Glycogen storage disease type 2 | Glycogen storage disease type II | Glycogenosis due to acid maltase deficiency | Glycogenosis type 2 | Glycogenosis type II | Pompe disease		C0017921	D006009
ORPHA:166087	Von Willebrand disease type 2B			C1282971	
ORPHA:366	Glycogen storage disease due to glycogen debranching enzyme deficiency	Amylo-1,6-glucosidase deficiency | Cori disease | Cori-Forbes disease | Forbes disease | GDE deficiency | GSD due to glycogen debranching enzyme deficiency | GSD type 3 | GSDIII | Glycogen storage disease type 3 | Glycogen storage disease type III | Glycogenosis due to glycogen debranching enzyme deficiency | Glycogenosis type 3 | Glycogenosis type III | Limit dextrinosis		C0017922	D006010
