ari_id	disease_label	synonym	matched_curie	matched_label	sources	disease_anchor_curie	disease_anchor_label	verdict
ARI:0001006	Addison's disease	Adrenal cortical hypofunction	DOID:10493	adrenal cortical hypofunction	doid	DOID:13774	Addison's disease	conflicts_with_label
ARI:0001006	Addison's disease	Adrenal Insufficiency	MESH:D000309	Adrenal Insufficiency	mesh	DOID:13774	Addison's disease	conflicts_with_label
ARI:0001006	Addison's disease	Primary adrenal insufficiency	MONDO:0015128	primary adrenal insufficiency	mondo,ncit,orphanet	DOID:13774	Addison's disease	conflicts_with_label
ARI:0001012	Ankylosing spondylitis	Axial spondyloarthritis	MESH:D000089183	Axial Spondyloarthritis	mesh	DOID:7147	ankylosing spondylitis	conflicts_with_label
ARI:0001012	Ankylosing spondylitis	Spondyloarthritis	NCIT:C116778	Spondyloarthritis	ncit	DOID:7147	ankylosing spondylitis	conflicts_with_label
ARI:0001031	Autoimmune gastritis	Atrophic gastritis	DOID:8929	atrophic gastritis	doid	DOID:0040090	autoimmune gastritis	conflicts_with_label
ARI:0001031	Autoimmune gastritis	Autoimmune enteropathy	MONDO:0019787	autoimmune enteropathy	mondo,ncit	DOID:0040090	autoimmune gastritis	conflicts_with_label
ARI:0001031	Autoimmune gastritis	Eosinophilic gastritis	DOID:4030	eosinophilic gastritis	doid,mondo,ncit	DOID:0040090	autoimmune gastritis	conflicts_with_label
ARI:0001031	Autoimmune gastritis	Macrocytic Anemia	DOID:2361	macrocytic anemia	doid,mondo,ncit	DOID:0040090	autoimmune gastritis	conflicts_with_label
ARI:0001031	Autoimmune gastritis	Megaloblastic Anemia	DOID:13382	megaloblastic anemia	doid,mondo,ncit	DOID:0040090	autoimmune gastritis	conflicts_with_label
ARI:0001049	Autoimmune urticaria	Chronic idiopathic urticaria	MONDO:0044212	chronic idiopathic urticaria	mondo	MONDO:0025513	autoimmune urticaria	conflicts_with_label
ARI:0001049	Autoimmune urticaria	Chronic urticaria	DOID:0080747	chronic urticaria	doid,mesh,mondo	MONDO:0025513	autoimmune urticaria	conflicts_with_label
ARI:0001049	Autoimmune urticaria	Physical urticaria	DOID:0060220	physical urticaria	doid,mondo	MONDO:0025513	autoimmune urticaria	conflicts_with_label
ARI:0001053	Behçet's syndrome	Hughes Stovin syndrome	MONDO:0016425	Hughes-Stovin syndrome	mondo,orphanet	MESH:D001528	Behcet Syndrome	conflicts_with_label
ARI:0001053	Behçet's syndrome	Hughes-Stovin syndrome	MONDO:0016425	Hughes-Stovin syndrome	mondo,orphanet	MESH:D001528	Behcet Syndrome	conflicts_with_label
ARI:0001065	Chronic Lyme disease	Lyme Arthritis	NCIT:C119026	Lyme Arthritis	ncit	MESH:D000077342	Post-Lyme Disease Syndrome	conflicts_with_label
ARI:0001065	Chronic Lyme disease	Lyme disease	DOID:11729	Lyme disease	doid,mesh,mondo,orphanet	MESH:D000077342	Post-Lyme Disease Syndrome	conflicts_with_label
ARI:0001069	Cold agglutinin disease	Anemia	DOID:2355	anemia	doid,mesh,mondo,ncit	MONDO:0018922	cold agglutinin disease	conflicts_with_label
ARI:0001073	Crohn's disease	Gastroduodenal Crohn's disease	DOID:0060191	gastroduodenal Crohn's disease	doid	DOID:8778	Crohn's disease	conflicts_with_label
ARI:0001073	Crohn's disease	Ileocolitis	DOID:0060190	ileocolitis	doid,mondo	DOID:8778	Crohn's disease	conflicts_with_label
ARI:0001074	Cryptogenic organizing pneumonia	idiopathic interstitial pneumonia	DOID:2797	idiopathic interstitial pneumonia	doid,mondo,ncit,orphanet	DOID:0050157	cryptogenic organizing pneumonia	conflicts_with_label
ARI:0001074	Cryptogenic organizing pneumonia	Interstitial pneumonia	NCIT:C27006	Interstitial Pneumonia	ncit	DOID:0050157	cryptogenic organizing pneumonia	conflicts_with_label
