# curie_map:
#   ARI: https://diseases.autoimmuneregistry.org/disease/ARI_
#   SNOMEDCT: http://snomed.info/id/
#   omop: https://athena.ohdsi.org/search-terms/terms/
#   DOID: http://purl.obolibrary.org/obo/DOID_
#   MONDO: http://purl.obolibrary.org/obo/MONDO_
#   ncit: http://purl.obolibrary.org/obo/NCIT_
#   icd10cm: http://purl.bioontology.org/ontology/ICD10CM/
#   ORPHA: https://www.orpha.net/en/disease/detail/
#   OMIM: https://omim.org/entry/
#   umls: https://uts.nlm.nih.gov/uts/umls/concept/
#   mesh: http://id.nlm.nih.gov/mesh/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
#   orcid: https://orcid.org/
# mapping_set_id: https://diseases.autoimmuneregistry.org/mappings/ari.predicted.sssom.tsv
# mapping_provider: https://www.autoimmuneregistry.org
# mapping_set_title: ARI predicted disease cross-reference mappings (lexical)
# mapping_tool: ARI-metadata-manager predict_service (exact name/synonym match)
# license: https://creativecommons.org/publicdomain/zero/1.0/
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	subject_match_field	match_string	mapping_provider	author_id	mapping_date
ARI:0001001	Acquired epidermolysis bullosa	skos:exactMatch	MONDO:0018747	acquired epidermolysis bullosa	semapv:LexicalMatching	label	Acquired epidermolysis bullosa	MONDO:0018747	ari:predict_service	2026-07-12
ARI:0001001	Acquired epidermolysis bullosa	skos:exactMatch	ORPHA:46487	acquired epidermolysis bullosa	semapv:LexicalMatching	label	Acquired epidermolysis bullosa	MONDO:0018747	ari:predict_service	2026-07-12
ARI:0001002	Acquired hemophilia	skos:exactMatch	icd10cm:D68.311	acquired hemophilia	semapv:LexicalMatching	label	Acquired hemophilia	MONDO:0019139	ari:predict_service	2026-07-12
ARI:0001002	Acquired hemophilia	skos:exactMatch	MONDO:0019139	acquired hemophilia	semapv:LexicalMatching	label	Acquired hemophilia	MONDO:0019139	ari:predict_service	2026-07-12
ARI:0001002	Acquired hemophilia	skos:exactMatch	ncit:C197822	Acquired Hemophilia	semapv:LexicalMatching	label	Acquired hemophilia	NCIT:C197822	ari:predict_service	2026-07-12
ARI:0001002	Acquired hemophilia	skos:exactMatch	ORPHA:73274	acquired hemophilia	semapv:LexicalMatching	label	Acquired hemophilia	MONDO:0019139	ari:predict_service	2026-07-12
ARI:0001002	Acquired hemophilia	skos:exactMatch	umls:C1096116	acquired hemophilia	semapv:LexicalMatching	label	Acquired hemophilia	MONDO:0019139	ari:predict_service	2026-07-12
ARI:0001003	Acute disseminated encephalomyelitis	skos:exactMatch	MONDO:0019383	acute disseminated encephalomyelitis	semapv:LexicalMatching	label	Acute disseminated encephalomyelitis	MONDO:0019383	ari:predict_service	2026-07-12
ARI:0001003	Acute disseminated encephalomyelitis	skos:exactMatch	ORPHA:83597	acute disseminated encephalomyelitis	semapv:LexicalMatching	label	Acute disseminated encephalomyelitis	MONDO:0019383	ari:predict_service	2026-07-12
ARI:0001004	Acute febrile mucocutaneous lymph node syndrome	skos:exactMatch	MONDO:0012727	Kawasaki disease	semapv:LexicalMatching	label	Acute febrile mucocutaneous lymph node syndrome	MONDO:0012727	ari:predict_service	2026-07-12
