# Synonyms the cross-reference predictor must ignore: each names a
# different disease than the ARI record it is attached to (see
# ari.mis_curated_synonyms.tsv). Generated by scripts/report_synonyms.py;
# curator-editable — add rows to exclude more, delete rows to re-allow.
ari_id	synonym	names_instead
ARI:0001006	Adrenal cortical hypofunction	DOID:10493 adrenal cortical hypofunction
ARI:0001006	Adrenal Insufficiency	MESH:D000309 Adrenal Insufficiency
ARI:0001006	Primary adrenal insufficiency	MONDO:0015128 primary adrenal insufficiency
ARI:0001012	Axial spondyloarthritis	MESH:D000089183 Axial Spondyloarthritis
ARI:0001012	Spondyloarthritis	NCIT:C116778 Spondyloarthritis
ARI:0001031	Atrophic gastritis	DOID:8929 atrophic gastritis
ARI:0001031	Autoimmune enteropathy	MONDO:0019787 autoimmune enteropathy
ARI:0001031	Eosinophilic gastritis	DOID:4030 eosinophilic gastritis
ARI:0001031	Macrocytic Anemia	DOID:2361 macrocytic anemia
ARI:0001031	Megaloblastic Anemia	DOID:13382 megaloblastic anemia
ARI:0001049	Chronic idiopathic urticaria	MONDO:0044212 chronic idiopathic urticaria
ARI:0001049	Chronic urticaria	DOID:0080747 chronic urticaria
ARI:0001049	Physical urticaria	DOID:0060220 physical urticaria
ARI:0001053	Hughes Stovin syndrome	MONDO:0016425 Hughes-Stovin syndrome
ARI:0001053	Hughes-Stovin syndrome	MONDO:0016425 Hughes-Stovin syndrome
ARI:0001065	Lyme Arthritis	NCIT:C119026 Lyme Arthritis
ARI:0001065	Lyme disease	DOID:11729 Lyme disease
ARI:0001069	Anemia	DOID:2355 anemia
ARI:0001073	Gastroduodenal Crohn's disease	DOID:0060191 gastroduodenal Crohn's disease
ARI:0001073	Ileocolitis	DOID:0060190 ileocolitis
ARI:0001074	idiopathic interstitial pneumonia	DOID:2797 idiopathic interstitial pneumonia
ARI:0001074	Interstitial pneumonia	NCIT:C27006 Interstitial Pneumonia
ARI:0001076	Discoid lupus erythematosus	MONDO:0019558 discoid lupus erythematosus
ARI:0001084	Adenomyosis	MESH:D062788 Adenomyosis
ARI:0001085	Enthesitis-related arthritis	NCIT:C119024 Enthesitis-Related Arthritis
ARI:0001109	Eosinophilic angiocentric fibrosis	MONDO:0018676 eosinophilic angiocentric fibrosis
ARI:0001109	IgG4-related retroperitoneal fibrosis	MONDO:0018848 IgG4-related retroperitoneal fibrosis
ARI:0001109	IgG4-related systemic disease	ORPHA:596448 IgG4-related systemic disease
ARI:0001109	Multifocal fibrosclerosis	NCIT:C197936 Multifocal Fibrosclerosis
ARI:0001109	Retroperitoneal fibrosis	MESH:D012185 Retroperitoneal Fibrosis
ARI:0001119	Balanitis xerotica obliterans	DOID:13477 balanitis xerotica obliterans
ARI:0001131	Corneal Ulcer	DOID:8463 corneal ulcer
ARI:0001149	Paraneoplastic syndrome	MONDO:0021073 paraneoplastic syndrome
ARI:0001155	Osteosclerotic myeloma	DOID:9541 osteosclerotic myeloma
ARI:0001173	Acquired pure red cell aplasia	NCIT:C70548 Acquired Pure Red Cell Aplasia
ARI:0001173	Adult pure red cell aplasia	MONDO:0020338 adult pure red cell aplasia
ARI:0001173	Primary acquired pure red cell aplasia	ORPHA:98872 Primary acquired pure red cell aplasia
ARI:0001179	Restless leg syndrome	NCIT:C84501 Restless Leg Syndrome
ARI:0001182	Acute rheumatic myocarditis	NCIT:C35202 Acute Rheumatic Myocarditis
ARI:0001198	Scleroderma	DOID:419 scleroderma
ARI:0001201	Granulomatous arteritis	NCIT:C34653 Granulomatous Arteritis
ARI:0001208	Autoimmune uveitis	DOID:0040088 autoimmune uveitis
ARI:0001211	Immune hemolytic anemia	NCIT:C91782 Immune Hemolytic Anemia
